username,date,retweets,favorites,text,geo,mentions,hashtags,id,permalink,
,12/30/16 09:05,0,0,Demonetisaton ka Asar #WoW https:// twitter.com/Pradesh18Guj/s tatus/814831401094656000 Š—_,,,#WoW,8.15E+17,https://twitter.com/goeltm_tg/status/814834706852114432,
,12/30/16 07:40,0,0,Demonetisaton Effect https:// twitter.com/PTI_News/statu s/814811456172478464 Š—_,,,,8.15E+17,https://twitter.com/goeltm_tg/status/814813412949512192,
,12/30/16 05:02,2,1,#Demonetisaton D-day https:// twitter.com/ChandrusWeb/st atus/814770510701543424 Š—_,,,#Demonetisaton,8.15E+17,https://twitter.com/pierrefitter/status/814773537391013888,
,12/30/16 04:29,0,0,50 days over of #demonetisaton . Calculations based on the meager numbers the #RBI has released prove that the... http:// fb.me/10qz3YDkc,,,#demonetisaton #RBI,8.15E+17,https://twitter.com/LogicalSpin/status/814765435769868292,
,12/29/16 22:35,1,0,We know @narendramodi start his campaigns with false promises and became PM.He is taking Demonetisaton same way #TimeUpModi @GauravPandhi,,@narendramodi @GauravPandhi,#TimeUpModi,8.15E+17,https://twitter.com/BaseraMahipal/status/814676191986782214,
,12/29/16 11:17,0,0,After Demonetisaton most Congress top leaders have gone in hidding n r not seen with RaGa. The reason best Known to them. India alert.,,,,8.15E+17,https://twitter.com/alex_gaga1961/status/814505686465847296,
,12/29/16 01:29,1,8,š_åšÇ š_™š_Œš_äš__šÇ—:š_š_Àš_çš_âšÇ š_çšÇš_Ù š_”š_ç š_æš_çšÇš_ÂšÇ— š_åšÇö š_š_ÙšÇö š_«šÇ— š_Âš__š__ #indianairforce #army #demonetisaton http:// bit.ly/2igvoJh pic.twitter.com/xYPZsavgm9,,,#indianairforce #army #demonetisaton,8.14E+17,https://twitter.com/news24tvchannel/status/814357557968048128,
,12/28/16 18:33,2,2,If Dangal is doing as well as reported,,,,,,
,12/28/16 15:03,11,17,How the Indian Air Force and Army fuelled the economy post demonetisaton http:// toi.in/1JfPrZ26/a20ci,,,,8.14E+17,https://twitter.com/amritabhinder/status/814200229415120896,
,12/28/16 14:19,9,7,How IAF,,,,,,
,12/28/16 11:20,22,46,How the Indian Air Force and Army fuelled the economy post demonetisaton http:// toi.in/1JfPrZ26 pic.twitter.com/zNwC7gCOML,,,,8.14E+17,https://twitter.com/timesofindia/status/814143882657153024,
,12/28/16 10:18,0,0,How IAF,,,,,,
,12/28/16 06:14,0,0,Then why did the Leftists cry over demonetisaton / digital payment & abuse hurled on Modi? Can they withdraw their earlier stmts & aplogize? https:// twitter.com/manoramanews/s tatus/814063614646571008 Š—_,,,,8.14E+17,https://twitter.com/gopakumar67/status/814067012796301312,
,12/28/16 03:33,0,0,Convinience fees are being charged for many cashless transactions even before 8/11...It should not be charged but is not bcoz #demonetisaton https:// twitter.com/srivatsayb/sta tus/813737778659921920 Š—_,,,#demonetisaton,8.14E+17,https://twitter.com/KartikSheth/status/814026391834365953,
,12/28/16 03:11,17,19,Foreign Tourist Arrivals In India Rise In the Midst of Demonetisaton pic.twitter.com/hIb5Uq9G0n,,,,8.14E+17,https://twitter.com/TheIndiaEye/status/814020822310350850,
,12/28/16 01:43,8,25,#BREAKING -- BJP counters Rahul's #demonetisaton charge: BJP leader,,,,,,
,12/27/16 23:55,6,2,Even after 50 days of #demonetisaton ,,,,,,
,12/27/16 23:38,0,0,Himalayan Blunder of 2016 is Demonetisaton of Currency by Indian dictator ruler.History will record this blunder.,,,,8.14E+17,https://twitter.com/sunlotus123/status/813967402878676992,
,12/27/16 13:37,4,2,Carrie Fisher George Michael Leonard Cohen David Bowie Prince 105 Demonetisaton #FuckOff2016,,,#FuckOff2016,8.14E+17,https://twitter.com/goeltm_tg/status/813815990895013888,
,12/27/16 11:32,0,0,Due to Demonetisaton the Black Marketing/Hoarders of Vegetables hv forced prices come down,,,,,,
