username,date,retweets,favorites,text,geo,mentions,hashtags,id,permalink,
,12/29/16 23:32,2,3,This news item should be probed & if found true then appropriate action should be taken against media Co. #DeMonetizaton @arunjaitley https:// twitter.com/imAbhishek_J/s tatus/814349283688378368 äó_,,@arunjaitley,#DeMonetizaton,8.15E+17,https://twitter.com/thevarunkalra/status/814690646770454528,
,12/29/16 20:17,0,0,Demonetizaton completes half century. Winners never quit..quitters never win. Lage Raho India,,,,8.15E+17,https://twitter.com/sundaram333/status/814641634721808384,
,12/27/16 14:22,0,0,50 days are up,,,,,,
,12/27/16 11:52,0,0,Funny video on ATM withdrawal post #DeMonetisation . #Demonetizaton #fun pic.twitter.com/ArfEN5wNvP,,,#DeMonetisation #Demonetizaton #fun,8.14E+17,https://twitter.com/amartadi/status/813789574220562432,
,12/27/16 09:40,0,1,I have a feeling some cess related to #Demonetizaton is in the offering in the next budget,,,#Demonetizaton,8.14E+17,https://twitter.com/the100rabh/status/813756360407953408,
,12/26/16 22:05,0,1,chappan is out of currency?Govt ka diktat #56 post #Demonetizaton was de last time govt used 56?Debate under Rule 56 was refused in Parl !ha https:// twitter.com/manishkbaid/st atus/813566735622160384 äó_,,,#56 #Demonetizaton,8.14E+17,https://twitter.com/cyborgbob/status/813581565938704384,
,12/25/16 01:26,0,1,Moral of the Talk is Dont Just criticise #Demonetizaton on basis of what you hear from people. Mostly Burai people doing is Suni Sunai only.,,,#Demonetizaton,8.13E+17,https://twitter.com/thevarunkalra/status/812907416966795264,
,12/23/16 23:09,0,0,Surprising ... and Chiddu wants PM to apologize for #Demonetizaton . . While white collors/coats are involved too ... https:// twitter.com/amitsurg/statu s/812473466888650752 äó_,,,#Demonetizaton,8.13E+17,https://twitter.com/123crush/status/812510583341748224,
,12/22/16 11:32,7,7,Another proof that People are supporting PM @narendramodi after 40 Days of #DeMonetizaton pic.twitter.com/tCTx8ehV3W,,@narendramodi,#DeMonetizaton,8.12E+17,https://twitter.com/TheIndiaEye/status/811972613882847232,
,12/22/16 05:39,2,1,Lutyens zone wants #Demonetizaton failure very badly... it's success is going to hurt their only hope ..Kejriwal the messiah of corruption,,,#Demonetizaton,8.12E+17,https://twitter.com/123crush/status/811883858886938624,
,12/22/16 03:18,0,0,ö_¬ö«šö_‰ ö_¬ö__ö_Âö__ö__ ö__ö«‰ö_ ö_´ö_Ë ö_«ö«†ö_çö__ö«ó ö_åö__ö«ö__ ö__ö«‰ö_´ ö__ö«ö_š ö__ö«š #Demonetizaton ö_´ö«† ö__ö__ö_„ö«‰ ö_´ö_Áö_Âö«ˆ ö_¬ö«ˆö_‰,,,,,,
,12/21/16 02:33,0,0,The money laundering people started using @facebook groups. #Demonetizaton #RBI @WeAreHyderabad @hydcitypolice pic.twitter.com/W7AFnZoDtl,,@facebook @WeAreHyderabad @hydcitypolice,#Demonetizaton #RBI,8.11E+17,https://twitter.com/amartadi/status/811474597123981312,
,12/20/16 07:43,4,6,Demonetizaton : Cleaning Black Money Mess pic.twitter.com/Q4jLSUiTuS,,,,8.11E+17,https://twitter.com/TheIndiaEye/status/811190163304914944,
,12/20/16 06:20,0,1,if people were angry about Demonetizaton it would have definitely reflected in polls. but win has other reasons https:// twitter.com/5Forty3/status /811161928487804928 äó_,,,,8.11E+17,https://twitter.com/123nitin/status/811169290489430018,
,12/19/16 04:43,1,2,This has already won the UNESCO #Demonetizaton award! Early in the morning! @DasBolshevik @gops333 @jay_ambadi @kkhushal9 https:// twitter.com/ShoaibDaniyal/ status/810758596258623488 äó_,,@DasBolshevik @gops333 @jay_ambadi @kkhushal9,#Demonetizaton,8.11E+17,https://twitter.com/logicalindianz/status/810782689611497473,
,12/19/16 02:40,3,1,Demonetizaton breaks the backbone of Rs 20 trillion trafficking Industry http://www. livemint.com/Politics/p9VrQ Ty6jY4Cs4H6CqpbZO/Note-ban-breaks-the-backbone-of-Rs20-trillion-trafficking-in.html äó_,,,,8.11E+17,https://twitter.com/TheIndiaEye/status/810751690064306176,
,12/19/16 02:25,0,0,Demonetizaton : Govt places limits on last minute deposits - RTN http:// ow.ly/mRTw307frfh,,,,8.11E+17,https://twitter.com/Ultra__News/status/810747911340433408,
,12/18/16 09:25,8,6,Vol- 20,,,,,,
,12/17/16 12:25,2,1,Opposition is gradually getting round 2accept @OfficeOfRG as its leader as evidenced frm demonstrations/delegations he led on #Demonetizaton,,@OfficeOfRG,#Demonetizaton,8.10E+17,https://twitter.com/yksingh26/status/810174069706473472,
,12/17/16 10:07,0,1,ö__ö_£ö_µö_Êö_‰ö_åö_ö__ö_´ö_ö_´ö_Ê ö_ìö_Â ö_ìö_óö_µö_Âö__ö__ö_ö__ö_Ë ö_Èö_ö_Áö__ö__ö_Â ö_Êö__ö_ö_¿ö__ö_Ê ö_Âö_óö_çö__ö__ö_„ö_Ëö__ö_Ê. #Demonetizaton @PMOIndia #BlackMoney #currencyban @suvarnanewstv @publictvnews #Money,,@PMOIndia @suvarnanewstv @publictvnews,#Demonetizaton #BlackMoney #currencyban #Money,8.10E+17,https://twitter.com/kala_m24/status/810139241695051776,
,12/16/16 10:08,1,2,,,,,,,
,12/16/16 09:00,1,2,Who so ever were supported and praised #Demonetizaton on 9 Nov are actully cursing govt ... India is not prepared for cashless but kaun bole,,,#Demonetizaton,8.10E+17,https://twitter.com/123crush/status/809760096708235265,
,12/16/16 08:57,0,0,Modi govt had great chance to ensure India's progress at high volt but low task of ATMs and no big Neta in jail has defeated #Demonetizaton,,,#Demonetizaton,8.10E+17,https://twitter.com/123crush/status/809759474143535104,
,12/15/16 06:52,0,0,#Demonetizaton has stopped terror activities ... wonder who said that ... https:// twitter.com/DDNewsLive/sta tus/809228433741910016 äó_,,,#Demonetizaton,8.09E+17,https://twitter.com/loneriderr/status/809365416896122884,
,12/14/16 11:00,0,0,Can't escape from #incometax department raids with the help of dogs. #Demonetizaton http://www. indiatimes.com/news/india/he- let-the-dogs-out-onto-the-raiding-party-to-protect-the-rs-2-89-crore-of-black-money-she-was-guarding-267430.html äó_,,,#incometax #Demonetizaton,8.09E+17,https://twitter.com/amartadi/status/809065565692293121,
,12/13/16 00:56,1,0,Chiddu brazenly speaks against positive move of Modi's #Demonetizaton who only helped gigantic corruption of UPA.. besharmi ki hadd ho gayi https:// twitter.com/NavbharatTimes /status/808548039568691200 äó_,,,#Demonetizaton,8.09E+17,https://twitter.com/123crush/status/808551249297584128,
,12/12/16 11:48,0,0,13860 cr wale shah Bach gye. 13.5 cr wale tondon din rat dikhaye ja rhe. samajhiye #Demonetizaton fail hone ke bad modi gov 1/2 #Vardah https:// twitter.com/laluprasadrjd/ status/808345580502073345 äó_,,,#Demonetizaton #Vardah,8.08E+17,https://twitter.com/TanvirA42152280/status/808352960535293952,
,12/12/16 10:21,0,1,Lagta hai demonetizaton ke baad kangal hogya kejriwal @DrKumarVishwas @tweetfromRaghu #Donate2AapMP,,@DrKumarVishwas @tweetfromRaghu,#Donate2AapMP,8.08E+17,https://twitter.com/ImVaishakh2/status/808330858058813440,
,12/11/16 08:49,0,0,. @GuptaarunArun I have also heard of water on Mars,,,,,,
,12/10/16 13:21,4,4,ö_¬ö«šö_‰ ö_¬ö__ö_Âö__ö__ ö__ö«‰ö_ ö_´ö_Ë ö_«ö«†ö_çö__ö«ó ö_åö__ö«ö__ ö__ö«‰ö_´ ö__ö«ö_š ö__ö«š #Demonetizaton ö_´ö«† ö__ö__ö_„ö«‰ ö_´ö_Áö_Âö«ˆ ö_¬ö«ˆö_‰,,,,,,
,12/9/16 22:19,0,0,Gag orders on the CAs. #Demonetizaton ICAI - The Institute of Chartered Accountants of India - http://www. icai.org/new_post.html? post_id=13158&c_id=219 äó_,,,#Demonetizaton,8.07E+17,https://twitter.com/loneriderr/status/807424578192424960,
,12/9/16 09:10,3,1,Modi ji initiated #Demonetizaton with an intent- welfare of common man but thugs/crooks banks robbed the whole idea,,,,,,
,12/9/16 03:31,3,3,RT- @MVenkaiahNaidu A talk by on äóÖA bold and revolutionary step to curb .. @alamgirizvi #IndiaFightsCorruption #Demonetizaton #ö_´ö__ö__ö___ö__ö_Â https:// twitter.com/MVenkaiahNaidu /status/802140455378907136 äó_,,@MVenkaiahNaidu @alamgirizvi,#IndiaFightsCorruption #Demonetizaton #ö_´,8.07E+17,https://twitter.com/iamYSfromTS/status/807140530131898368,
,12/8/16 00:52,0,0,A bollywood khan's take on things like #demonetizaton & #intolerance is dictated by how his last film had fared & when his next film is due.,,,#demonetizaton #intolerance,8.07E+17,https://twitter.com/Andec_Tanker/status/806738232691990528,
,12/7/16 03:12,0,1,#Delhi #Demonetizaton #Governance #Aaptards #Kejriwal https:// twitter.com/terikahkelunga /status/800710976773328896 äó_,,,#Delhi #Demonetizaton #Governance #Aaptards #Kejriwal,8.06E+17,https://twitter.com/vicky30875/status/806410922214486017,
,12/6/16 22:14,0,0,On RBI decision today: 31 of 44 economists predict a rate cut amid demonetizaton woes,,,,,,
,12/6/16 01:00,2,4,@MotilalOswalLtd #demonetizaton top picks: Bharat Financial,,,,,,
,12/5/16 16:02,4,5,Congratulations. Demonetizaton is another test in which we PSUs have to excel to justify rationale of keeping us with Govt sector. Well done https:// twitter.com/BpclRahul/stat us/805827534113734656 äó_,,,,8.06E+17,https://twitter.com/BPCLVijaySehgal/status/805880087736291328,
